"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","bound.sulfur.dioxide","pH","sulphates","alcohol","quality"
8.8,0.4,0.4,2.2,0.079,19,33,3.44,0.64,9.2,5
7.7,0.69,0.49,1.8,0.115,20,92,3.21,0.71,9.3,5
7.5,0.52,0.16,1.9,0.085,12,23,3.38,0.62,9.5,7
7,0.735,0.05,2,0.081,13,41,3.39,0.57,9.8,5
7.2,0.725,0.05,4.65,0.086,4,7,3.41,0.39,10.9,5
7.2,0.725,0.05,4.65,0.086,4,7,3.41,0.39,10.9,5
7.5,0.52,0.11,1.5,0.079,11,28,3.42,0.58,9.6,5
6.6,0.705,0.07,1.6,0.076,6,9,3.44,0.58,10.7,5
9.3,0.32,0.57,2,0.074,27,38,3.28,0.79,10.7,5
8,0.705,0.05,1.9,0.074,8,11,3.34,0.95,10.5,6
7.7,0.63,0.08,1.9,0.076,15,12,3.32,0.54,9.5,6
7.7,0.67,0.23,2.1,0.088,17,79,3.32,0.48,9.5,5
7.7,0.69,0.22,1.9,0.084,18,76,3.31,0.48,9.5,5
8.3,0.675,0.26,2.1,0.084,11,32,3.31,0.53,9.2,4
9.7,0.32,0.54,2.5,0.094,28,55,3.28,0.82,9.6,5
8.8,0.41,0.64,2.2,0.093,9,33,3.54,0.66,10.5,5
8.8,0.41,0.64,2.2,0.093,9,33,3.54,0.66,10.5,5
6.8,0.785,0,2.4,0.104,14,16,3.52,0.55,10.7,6
6.7,0.75,0.12,2,0.086,12,68,3.38,0.52,10.1,5
8.3,0.625,0.2,1.5,0.08,27,92,3.16,1.12,9.1,4
6.2,0.45,0.2,1.6,0.069,3,12,3.41,0.56,9.2,5
7.8,0.43,0.7,1.9,0.464,22,45,3.13,1.28,9.4,5
7.4,0.5,0.47,2,0.086,21,52,3.36,0.57,9.1,5
7.3,0.67,0.26,1.8,0.401,16,35,3.16,1.14,9.4,5
6.3,0.3,0.48,1.8,0.069,18,43,3.44,0.78,10.3,6
6.9,0.55,0.15,2.2,0.076,19,21,3.41,0.59,10.1,5
8.6,0.49,0.28,1.9,0.11,20,116,2.93,1.95,9.9,6
7.7,0.49,0.26,1.9,0.062,9,22,3.39,0.64,9.6,5
9.3,0.39,0.44,2.1,0.107,34,91,3.14,1.22,9.5,5
7,0.62,0.08,1.8,0.076,8,16,3.48,0.53,9,5
7.9,0.52,0.26,1.9,0.079,42,98,3.23,0.54,9.5,5
8.6,0.49,0.28,1.9,0.11,20,116,2.93,1.95,9.9,6
8.6,0.49,0.29,2,0.11,19,114,2.93,1.98,9.8,5
7.7,0.49,0.26,1.9,0.062,9,22,3.39,0.64,9.6,5
5,1.02,0.04,1.4,0.045,41,44,3.75,0.48,10.5,4
4.7,0.6,0.17,2.3,0.058,17,89,3.85,0.6,12.9,6
6.8,0.775,0,3,0.102,8,15,3.45,0.56,10.7,5
7,0.5,0.25,2,0.07,3,19,3.25,0.63,9.2,5
7.6,0.9,0.06,2.5,0.079,5,5,3.39,0.56,9.8,5
8.1,0.545,0.18,1.9,0.08,13,22,3.3,0.59,9,6
8.3,0.61,0.3,2.1,0.084,11,39,3.4,0.61,10.2,6
7.8,0.5,0.3,1.9,0.075,8,14,3.31,0.56,10.4,6
8.1,0.545,0.18,1.9,0.08,13,22,3.3,0.59,9,6
8.1,0.575,0.22,2.1,0.077,12,53,3.29,0.51,9.2,5
7.2,0.49,0.24,2.2,0.07,5,31,3.33,0.48,9.4,5
8.1,0.575,0.22,2.1,0.077,12,53,3.29,0.51,9.2,5
7.8,0.41,0.68,1.7,0.467,18,51,3.08,1.31,9.3,5
6.2,0.63,0.31,1.7,0.088,15,49,3.46,0.79,9.3,5
8,0.33,0.53,2.5,0.091,18,62,3.37,0.8,9.6,6
8.1,0.785,0.52,2,0.122,37,116,3.21,0.69,9.3,5
7.8,0.56,0.19,1.8,0.104,12,35,3.19,0.93,9.5,5
8.4,0.62,0.09,2.2,0.084,11,97,3.15,0.66,9.8,5
8.4,0.6,0.1,2.2,0.085,14,97,3.15,0.66,9.8,5
10.1,0.31,0.44,2.3,0.08,22,24,3.32,0.67,9.7,6
7.8,0.56,0.19,1.8,0.104,12,35,3.19,0.93,9.5,5
9.4,0.4,0.31,2.2,0.09,13,49,3.07,0.63,10.5,6
8.3,0.54,0.28,1.9,0.077,11,29,3.39,0.61,10,6
7.8,0.56,0.12,2,0.082,7,21,3.37,0.5,9.4,6
8.8,0.55,0.04,2.2,0.119,14,42,3.21,0.6,10.9,6
7,0.69,0.08,1.8,0.097,22,67,3.34,0.54,9.2,6
7.3,1.07,0.09,1.7,0.178,10,79,3.3,0.57,9,5
8.8,0.55,0.04,2.2,0.119,14,42,3.21,0.6,10.9,6
7.3,0.695,0,2.5,0.075,3,10,3.49,0.52,9.2,5
8,0.71,0,2.6,0.08,11,23,3.44,0.53,9.5,5
7.8,0.5,0.17,1.6,0.082,21,81,3.39,0.48,9.5,5
9,0.62,0.04,1.9,0.146,27,63,3.16,0.7,9.4,5
8.2,1.33,0,1.7,0.081,3,9,3.53,0.49,10.9,5
8.1,1.33,0,1.8,0.082,3,9,3.54,0.48,10.9,5
8,0.59,0.16,1.8,0.065,3,13,3.42,0.92,10.5,7
6.1,0.38,0.15,1.8,0.072,6,13,3.42,0.57,9.4,5
8,0.745,0.56,2,0.118,30,104,3.24,0.66,9.4,5
5.6,0.5,0.09,2.3,0.049,17,82,3.63,0.63,13,5
5.6,0.5,0.09,2.3,0.049,17,82,3.63,0.63,13,5
6.6,0.5,0.01,1.5,0.06,17,9,3.4,0.58,9.8,6
7.9,1.04,0.05,2.2,0.084,13,16,3.22,0.55,9.9,6
8.4,0.745,0.11,1.9,0.09,16,47,3.19,0.82,9.6,5
8.3,0.715,0.15,1.8,0.089,10,42,3.23,0.77,9.5,5
7.2,0.415,0.36,2,0.081,13,32,3.48,0.64,9.2,5
7.8,0.56,0.19,2.1,0.081,15,90,3.33,0.54,9.5,5
7.8,0.56,0.19,2,0.081,17,91,3.32,0.54,9.5,5
8.4,0.745,0.11,1.9,0.09,16,47,3.19,0.82,9.6,5
8.3,0.715,0.15,1.8,0.089,10,42,3.23,0.77,9.5,5
5.2,0.34,0,1.8,0.05,27,36,3.68,0.79,14,6
6.3,0.39,0.08,1.7,0.066,3,17,3.34,0.58,9.4,5
5.2,0.34,0,1.8,0.05,27,36,3.68,0.79,14,6
8.1,0.67,0.55,1.8,0.117,32,109,3.17,0.62,9.4,5
5.8,0.68,0.02,1.8,0.087,21,73,3.54,0.52,10,5
7.6,0.49,0.26,1.6,0.236,10,78,3.11,0.8,9.3,5
6.9,0.49,0.1,2.3,0.074,12,18,3.42,0.58,10.2,6
8.2,0.4,0.44,2.8,0.089,11,32,3.53,0.61,10.5,6
7.3,0.33,0.47,2.1,0.077,5,6,3.33,0.53,10.3,6
9.2,0.52,1,3.4,0.61,32,37,2.74,2,9.4,4
7.5,0.6,0.03,1.8,0.095,25,74,3.35,0.54,10.1,5
7.5,0.6,0.03,1.8,0.095,25,74,3.35,0.54,10.1,5
7.1,0.43,0.42,5.5,0.07,29,100,3.42,0.72,10.5,5
7.1,0.43,0.42,5.5,0.071,28,100,3.42,0.71,10.5,5
7.1,0.43,0.42,5.5,0.07,29,100,3.42,0.72,10.5,5
7.1,0.43,0.42,5.5,0.071,28,100,3.42,0.71,10.5,5
7.1,0.68,0,2.2,0.073,12,10,3.48,0.5,9.3,5
6.8,0.6,0.18,1.9,0.079,18,68,3.59,0.57,9.3,6
7.6,0.95,0.03,2,0.09,7,13,3.2,0.56,9.6,5
7.6,0.68,0.02,1.3,0.072,9,11,3.17,1.08,9.2,4
7.8,0.53,0.04,1.7,0.076,17,14,3.33,0.56,10,6
7.4,0.6,0.26,7.3,0.07,36,85,3.37,0.49,9.4,5
7.3,0.59,0.26,7.2,0.07,35,86,3.37,0.49,9.4,5
7.8,0.63,0.48,1.7,0.1,14,82,3.19,0.62,9.5,5
6.8,0.64,0.1,2.1,0.085,18,83,3.34,0.52,10.2,5
7.3,0.55,0.03,1.6,0.072,17,25,3.37,0.48,9,4
6.8,0.63,0.07,2.1,0.089,11,33,3.47,0.55,10.4,6
7.5,0.705,0.24,1.8,0.36,15,48,3,1.59,9.5,5
7.9,0.885,0.03,1.8,0.058,4,4,3.36,0.33,9.1,4
8,0.42,0.17,2,0.073,6,12,3.29,0.61,9.2,6
8,0.42,0.17,2,0.073,6,12,3.29,0.61,9.2,6
7.4,0.62,0.05,1.9,0.068,24,18,3.42,0.57,11.5,6
7.3,0.38,0.21,2,0.08,7,28,3.33,0.47,9.5,5
6.9,0.5,0.04,1.5,0.085,19,30,3.35,0.78,9.5,5
7.3,0.38,0.21,2,0.08,7,28,3.33,0.47,9.5,5
7.5,0.52,0.42,2.3,0.087,8,30,3.58,0.61,10.5,6
7,0.805,0,2.5,0.068,7,13,3.48,0.56,9.6,5
8.8,0.61,0.14,2.4,0.067,10,32,3.19,0.59,9.5,5
8.8,0.61,0.14,2.4,0.067,10,32,3.19,0.59,9.5,5
8.9,0.61,0.49,2,0.27,23,87,3.12,1.02,9.3,5
7.2,0.73,0.02,2.5,0.076,16,26,3.44,0.52,9.3,5
6.8,0.61,0.2,1.8,0.077,11,54,3.54,0.58,9.3,5
6.7,0.62,0.21,1.9,0.079,8,54,3.52,0.58,9.3,6
8.9,0.31,0.57,2,0.111,26,59,3.26,0.53,9.7,5
7.4,0.39,0.48,2,0.082,14,53,3.34,0.55,9.2,5
7.7,0.705,0.1,2.6,0.084,9,17,3.39,0.49,9.7,5
7.9,0.5,0.33,2,0.084,15,128,3.2,0.55,9.5,5
7.9,0.49,0.32,1.9,0.082,17,127,3.2,0.55,9.5,5
8.2,0.5,0.35,2.9,0.077,21,106,3.23,0.62,9.4,5
6.4,0.37,0.25,1.9,0.074,21,28,3.57,0.62,9.8,6
6.8,0.63,0.12,3.8,0.099,16,110,3.28,0.61,9.5,5
7.6,0.55,0.21,2.2,0.071,7,21,3.28,0.55,9.7,5
7.6,0.55,0.21,2.2,0.071,7,21,3.28,0.55,9.7,5
7.8,0.59,0.33,2,0.074,24,96,3.25,0.54,9.4,5
7.3,0.58,0.3,2.4,0.074,15,40,3.46,0.59,10.2,5
11.5,0.3,0.6,2,0.067,12,15,3.11,0.97,10.1,6
5.4,0.835,0.08,1.2,0.046,13,80,3.57,0.85,13,7
6.9,1.09,0.06,2.1,0.061,12,19,3.51,0.43,11.4,4
9.6,0.32,0.47,1.4,0.056,9,15,3.22,0.82,10.3,7
8.8,0.37,0.48,2.1,0.097,39,106,3.04,1.03,9.3,5
6.8,0.5,0.11,1.5,0.075,16,33,3.36,0.79,9.5,5
7,0.42,0.35,1.6,0.088,16,23,3.34,0.55,9.2,5
7,0.43,0.36,1.6,0.089,14,23,3.34,0.56,9.2,6
12.8,0.3,0.74,2.6,0.095,9,19,3.2,0.77,10.8,7
12.8,0.3,0.74,2.6,0.095,9,19,3.2,0.77,10.8,7
7.8,0.57,0.31,1.8,0.069,26,94,3.29,0.53,9.3,5
7.8,0.44,0.28,2.7,0.1,18,77,3.22,0.67,9.4,5
11,0.3,0.58,2.1,0.054,7,12,3.31,0.88,10.5,7
9.7,0.53,0.6,2,0.039,5,14,3.3,0.86,12.4,6
8,0.725,0.24,2.8,0.083,10,52,3.35,0.56,10,6
11.6,0.44,0.64,2.1,0.059,5,10,3.21,0.67,10.2,6
8.2,0.57,0.26,2.2,0.06,28,37,3.3,0.43,10.1,5
7.8,0.735,0.08,2.4,0.092,10,31,3.24,0.71,9.8,6
7,0.49,0.49,5.6,0.06,26,95,3.34,0.76,10.5,5
8.7,0.625,0.16,2,0.101,13,36,3.14,0.57,11,5
8.1,0.725,0.22,2.2,0.072,11,30,3.36,0.55,9.1,5
7.5,0.49,0.19,1.9,0.076,10,34,3.39,0.54,9.7,5
7.8,0.53,0.33,2.4,0.08,24,120,3.3,0.6,9.5,5
7.8,0.34,0.37,2,0.082,24,34,3.34,0.59,9.4,6
7.4,0.53,0.26,2,0.101,16,56,3.15,0.57,9.4,5
6.8,0.61,0.04,1.5,0.057,5,5,3.42,0.6,9.5,5
8.6,0.645,0.25,2,0.083,8,20,3.28,0.6,10,6
8.4,0.635,0.36,2,0.089,15,40,3.31,0.57,10.4,4
7.7,0.43,0.25,2.6,0.073,29,34,3.37,0.58,10.5,6
8.9,0.59,0.5,2,0.337,27,54,3.04,1.61,9.5,6
9,0.82,0.14,2.6,0.089,9,14,3.39,0.63,9.8,5
7.7,0.43,0.25,2.6,0.073,29,34,3.37,0.58,10.5,6
6.9,0.52,0.25,2.6,0.081,10,27,3.46,0.5,11,5
5.2,0.48,0.04,1.6,0.054,19,87,3.54,0.62,12.2,7
8,0.38,0.06,1.8,0.078,12,37,3.37,0.52,9.9,6
8.5,0.37,0.2,2.8,0.09,18,40,3.34,0.7,9.6,6
6.9,0.52,0.25,2.6,0.081,10,27,3.46,0.5,11,5
8.2,1,0.09,2.3,0.065,7,30,3.32,0.55,9,6
7.2,0.63,0,1.9,0.097,14,24,3.37,0.58,9,6
7.2,0.63,0,1.9,0.097,14,24,3.37,0.58,9,6
7.2,0.645,0,1.9,0.097,15,24,3.37,0.58,9.2,6
7.2,0.63,0,1.9,0.097,14,24,3.37,0.58,9,6
8.2,1,0.09,2.3,0.065,7,30,3.32,0.55,9,6
8.9,0.635,0.37,1.7,0.263,5,57,3,1.09,9.3,5
12,0.38,0.56,2.1,0.093,6,18,3.14,0.71,10.9,6
7.7,0.58,0.1,1.8,0.102,28,81,3.08,0.49,9.8,6
15,0.21,0.44,2.2,0.075,10,14,3.07,0.84,9.2,7
15,0.21,0.44,2.2,0.075,10,14,3.07,0.84,9.2,7
7.3,0.66,0,2,0.084,6,17,3.61,0.96,9.9,6
7.1,0.68,0.07,1.9,0.075,16,35,3.38,0.52,9.5,5
8.2,0.6,0.17,2.3,0.072,11,62,3.2,0.45,9.3,5
7.7,0.53,0.06,1.7,0.074,9,30,3.35,0.48,9.8,6
7.3,0.66,0,2,0.084,6,17,3.61,0.96,9.9,6
10.8,0.32,0.44,1.6,0.063,16,21,3.22,0.78,10,6
7.1,0.6,0,1.8,0.074,16,18,3.47,0.7,9.9,6
11.1,0.35,0.48,3.1,0.09,5,16,3.17,0.53,10.5,5
7.7,0.775,0.42,1.9,0.092,8,78,3.23,0.59,9.5,5
7.1,0.6,0,1.8,0.074,16,18,3.47,0.7,9.9,6
8,0.57,0.23,3.2,0.073,17,102,3.26,0.57,9.3,5
9.4,0.34,0.37,2.2,0.075,5,8,3.22,0.62,9.2,5
6.6,0.695,0,2.1,0.075,12,44,3.49,0.67,9.2,5
7.7,0.41,0.76,1.8,0.611,8,37,3.06,1.26,9.4,5
10,0.31,0.47,2.6,0.085,14,19,3.36,0.8,10.5,7
7.9,0.33,0.23,1.7,0.077,18,27,3.29,0.65,9.3,5
7,0.975,0.04,2,0.087,12,55,3.35,0.6,9.4,4
8,0.52,0.03,1.7,0.07,10,25,3.34,0.57,10,5
7.9,0.37,0.23,1.8,0.077,23,26,3.28,0.67,9.3,5
12.5,0.56,0.49,2.4,0.064,5,22,3.08,0.87,10.9,5
11.8,0.26,0.52,1.8,0.071,6,4,3.2,0.72,10.2,7
8.1,0.87,0,3.3,0.096,26,35,3.6,0.72,9.8,4
7.9,0.35,0.46,3.6,0.078,15,22,3.35,0.86,12.8,8
6.9,0.54,0.04,3,0.077,7,20,3.69,0.91,9.4,6
11.5,0.18,0.51,4,0.104,4,19,3.28,0.97,10.1,6
7.9,0.545,0.06,4,0.087,27,34,3.36,0.67,10.7,6
11.5,0.18,0.51,4,0.104,4,19,3.28,0.97,10.1,6
10.9,0.37,0.58,4,0.071,17,48,3.22,0.78,10.1,5
8.4,0.715,0.2,2.4,0.076,10,28,3.31,0.64,9.4,5
7.5,0.65,0.18,7,0.088,27,67,3.38,0.77,9.4,5
7.9,0.545,0.06,4,0.087,27,34,3.36,0.67,10.7,6
6.9,0.54,0.04,3,0.077,7,20,3.69,0.91,9.4,6
11.5,0.18,0.51,4,0.104,4,19,3.28,0.97,10.1,6
10.3,0.32,0.45,6.4,0.073,5,8,3.23,0.82,12.6,8
8.9,0.4,0.32,5.6,0.087,10,37,3.38,0.77,10.5,7
11.4,0.26,0.44,3.6,0.071,6,13,3.12,0.82,9.3,6
7.7,0.27,0.68,3.5,0.358,5,5,3.25,1.08,9.9,7
7.6,0.52,0.12,3,0.067,12,41,3.36,0.57,9.1,5
8.9,0.4,0.32,5.6,0.087,10,37,3.38,0.77,10.5,7
9.9,0.59,0.07,3.4,0.102,32,39,3.31,0.71,9.8,5
9.9,0.59,0.07,3.4,0.102,32,39,3.31,0.71,9.8,5
12,0.45,0.55,2,0.073,25,24,3.1,0.76,10.3,6
7.5,0.4,0.12,3,0.092,29,24,3.37,0.7,10.3,6
8.7,0.52,0.09,2.5,0.091,20,29,3.34,0.86,10.6,7
11.6,0.42,0.53,3.3,0.105,33,65,3.2,0.95,9.2,5
8.7,0.52,0.09,2.5,0.091,20,29,3.34,0.86,10.6,7
11,0.2,0.48,2,0.343,6,12,3.3,0.71,10.5,5
10.4,0.55,0.23,2.7,0.091,18,30,3.22,0.64,10.3,6
6.9,0.36,0.25,2.4,0.098,5,11,3.41,0.6,10.1,6
13.3,0.34,0.52,3.2,0.094,17,36,3.05,0.81,9.5,6
10.8,0.5,0.46,2.5,0.073,5,22,3.05,0.64,9.5,5
10.6,0.83,0.37,2.6,0.086,26,44,3.16,0.52,9.9,5
7.1,0.63,0.06,2,0.083,8,21,3.67,0.73,9.6,5
7.2,0.65,0.02,2.3,0.094,5,26,3.67,0.8,9.7,5
6.9,0.67,0.06,2.1,0.08,8,25,3.68,0.71,9.6,5
7.5,0.53,0.06,2.6,0.086,20,24,3.38,0.59,10.7,6
11.1,0.18,0.48,1.5,0.068,7,8,3.22,0.64,10.1,6
8.3,0.705,0.12,2.6,0.092,12,16,3.51,0.72,10,5
7.4,0.67,0.12,1.6,0.186,5,16,3.39,0.54,9.5,5
8.4,0.65,0.6,2.1,0.112,12,78,3.2,0.52,9.2,5
10.3,0.53,0.48,2.5,0.063,6,19,3.12,0.59,9.3,6
7.6,0.62,0.32,2.2,0.082,7,47,3.36,0.52,9.4,5
10.3,0.41,0.42,2.4,0.213,6,8,3.19,0.62,9.5,6
10.3,0.43,0.44,2.4,0.214,5,7,3.19,0.63,9.5,6
7.4,0.29,0.38,1.7,0.062,9,21,3.41,0.53,9.5,6
10.3,0.53,0.48,2.5,0.063,6,19,3.12,0.59,9.3,6
7.9,0.53,0.24,2,0.072,15,90,3.27,0.54,9.4,6
9,0.46,0.31,2.8,0.093,19,79,3.32,0.63,9.5,6
8.6,0.47,0.3,3,0.076,30,105,3.3,0.53,9.4,5
7.4,0.36,0.29,2.6,0.087,26,46,3.39,0.68,11,5
7.1,0.35,0.29,2.5,0.096,20,33,3.42,0.65,11,6
9.6,0.56,0.23,3.4,0.102,37,55,3.3,0.65,10.1,5
9.6,0.77,0.12,2.9,0.082,30,44,3.3,0.64,10.4,6
9.8,0.66,0.39,3.2,0.083,21,38,3.37,0.71,11.5,7
9.6,0.77,0.12,2.9,0.082,30,44,3.3,0.64,10.4,6
9.8,0.66,0.39,3.2,0.083,21,38,3.37,0.71,11.5,7
9.3,0.61,0.26,3.4,0.09,25,62,3.24,0.62,9.7,5
7.8,0.62,0.05,2.3,0.079,6,12,3.29,0.63,9.3,5
10.3,0.59,0.42,2.8,0.09,35,38,3.28,0.7,9.5,6
10,0.49,0.2,11,0.071,13,37,3.16,0.69,9.2,6
10,0.49,0.2,11,0.071,13,37,3.16,0.69,9.2,6
11.6,0.53,0.66,3.65,0.121,6,8,3.05,0.74,11.5,7
10.3,0.44,0.5,4.5,0.107,5,8,3.28,0.83,11.5,5
13.4,0.27,0.62,2.6,0.082,6,15,3.16,0.67,9.7,6
10.7,0.46,0.39,2,0.061,7,8,3.18,0.62,9.5,5
10.2,0.36,0.64,2.9,0.122,10,31,3.23,0.66,12.5,6
10.2,0.36,0.64,2.9,0.122,10,31,3.23,0.66,12.5,6
8,0.58,0.28,3.2,0.066,21,93,3.22,0.54,9.4,6
8.4,0.56,0.08,2.1,0.105,16,28,3.13,0.52,11,5
7.9,0.65,0.01,2.5,0.078,17,21,3.34,0.74,11.7,7
11.9,0.695,0.53,3.4,0.128,7,14,3.17,0.84,12.2,7
8.9,0.43,0.45,1.9,0.052,6,10,3.35,0.7,12.5,6
7.8,0.43,0.32,2.8,0.08,29,29,3.31,0.64,10.3,5
12.4,0.49,0.58,3,0.103,28,71,3.16,1,11.5,6
12.5,0.28,0.54,2.3,0.082,12,17,3.11,1.36,9.8,7
12.2,0.34,0.5,2.4,0.066,10,11,3.12,1.18,9.2,6
10.6,0.42,0.48,2.7,0.065,5,13,3.21,0.87,11.3,6
10.9,0.39,0.47,1.8,0.118,6,8,3.3,0.75,9.8,6
10.9,0.39,0.47,1.8,0.118,6,8,3.3,0.75,9.8,6
11.9,0.57,0.5,2.6,0.082,6,26,3.12,0.78,10.7,6
7,0.685,0,1.9,0.067,40,23,3.6,0.81,9.9,5
6.6,0.815,0.02,2.7,0.072,17,17,3.58,0.89,12.3,7
13.8,0.49,0.67,3,0.093,6,9,3.02,0.93,12,6
9.6,0.56,0.31,2.8,0.089,15,31,3.11,0.92,10,6
9.1,0.785,0,2.6,0.093,11,17,3.36,0.86,9.4,6
10.7,0.67,0.22,2.7,0.107,17,17,3.28,0.98,9.9,6
9.1,0.795,0,2.6,0.096,11,15,3.35,0.83,9.4,6
7.7,0.665,0,2.4,0.09,8,11,3.27,0.73,9.3,5
13.5,0.53,0.79,4.8,0.12,23,54,3.18,0.77,13,5
6.1,0.21,0.4,1.4,0.066,40.5,124.5,3.25,0.59,11.9,6
6.7,0.75,0.01,2.4,0.078,17,15,3.55,0.61,12.8,6
11.5,0.41,0.52,3,0.08,29,26,3.26,0.88,11,5
10.5,0.42,0.66,2.95,0.116,12,17,3.24,0.75,11.7,7
11.9,0.43,0.66,3.1,0.109,10,13,3.15,0.85,10.4,7
12.6,0.38,0.66,2.6,0.088,10,31,3.17,0.68,9.8,6
8.2,0.7,0.23,2,0.099,14,67,3.19,0.7,9.4,5
8.6,0.45,0.31,2.6,0.086,21,29,3.37,0.91,9.9,6
11.9,0.58,0.66,2.5,0.072,6,31,3.05,0.56,10,5
12.5,0.46,0.63,2,0.071,6,9,2.99,0.87,10.2,5
12.8,0.615,0.66,5.8,0.083,7,35,3.07,0.73,10,7
10,0.42,0.5,3.4,0.107,7,14,3.26,0.93,11.8,6
12.8,0.615,0.66,5.8,0.083,7,35,3.07,0.73,10,7
10.4,0.575,0.61,2.6,0.076,11,13,3.16,0.69,9,5
10.3,0.34,0.52,2.8,0.159,15,60,3.18,0.64,9.4,5
9.4,0.27,0.53,2.4,0.074,6,12,3.2,1.13,12,7
6.9,0.765,0.02,2.3,0.063,35,28,3.57,0.78,9.9,5
7.9,0.24,0.4,1.6,0.056,11,14,3.32,0.87,8.7,6
9.1,0.28,0.48,1.8,0.067,26,20,3.32,1.04,10.6,6
